method,endpoint,mean_cindex,std_cindex,ci_diff_vs_blend_lower,ci_diff_vs_blend_upper
FIB-4,hepatic,0.8171265084070625,0.08639220089199087,-0.10991836281021768,0.06739982265742075
APRI,hepatic,0.7238537055985736,0.1282391854940903,-0.04197108086100285,0.1887411725423865
Blend,hepatic,0.8051518951581431,0.1063503866346576,,
FIB-4,death,0.6541976247272565,0.07337044272017892,0.20414742688841866,0.41459164150228267
APRI,death,0.5460984942918841,0.08496690679458306,0.2914130844600403,0.5424643715637769
Blend,death,0.9511464758539828,0.016494739600299835,,
